Year,County,Region,Program,Families_Served
2020,Andrews,9-Midland,THV MIECHV,3
2020,Aransas,11-Edinburg,THV MIECHV,1
2020,Archer,2-Abilene,THV MIECHV,8
2020,Atascosa,8-San Antonio,HIP,1
2020,Atascosa,8-San Antonio,HOPES,1
2020,Atascosa,8-San Antonio,THV MIECHV,1
2020,Atascosa,8-San Antonio,TNFP,3
2020,Bandera,8-San Antonio,TNFP,1
2020,Bastrop,7-Austin,HOPES,1
2020,Bastrop,7-Austin,THV MIECHV,190
2020,Bastrop,7-Austin,TNFP,5
2020,Bell,7-Austin,HIP,32
2020,Bell,7-Austin,HOPES,223
2020,Bell,7-Austin,TNFP,9
2020,Bexar,8-San Antonio,HIP,143
2020,Bexar,8-San Antonio,HOPES,1021
2020,Bexar,8-San Antonio,THV MIECHV,393
2020,Bexar,8-San Antonio,TNFP,724
2020,Bosque,7-Austin,HOPES,7
2020,Bowie,4-Tyler,HIP,3
2020,Brazoria,6-Houston,HOPES,9
2020,Brazoria,6-Houston,THV STATE,1
2020,Brazoria,6-Houston,TNFP,6
2020,Brazos,7-Austin,HOPES,177
2020,Brown,2-Abilene,HIP,12
2020,Burnet,7-Austin,HOPES,6
2020,Caldwell,7-Austin,THV MIECHV,4
2020,Caldwell,7-Austin,TNFP,2
2020,Callahan,2-Abilene,HOPES,10
2020,Cameron,11-Edinburg,HIP,15
2020,Cameron,11-Edinburg,HOPES,329
2020,Cameron,11-Edinburg,THV MIECHV,79
2020,Cameron,11-Edinburg,TNFP,3
2020,Carson,1-Lubbock,THV MIECHV,1
2020,Cass,4-Tyler,HIP,1
2020,Cass,4-Tyler,THV MIECHV,1
2020,Chambers,6-Houston,HOPES,1
2020,Chambers,6-Houston,THV STATE,1
2020,Chambers,6-Houston,TNFP,2
2020,Cherokee,4-Tyler,HIP,2
2020,Cherokee,4-Tyler,THV MIECHV,4
2020,Clay,2-Abilene,HOPES,3
2020,Clay,2-Abilene,THV MIECHV,2
2020,Coleman,2-Abilene,HIP,5
2020,Collin,3-Arlington,HIP,1
2020,Collin,3-Arlington,HOPES,3
2020,Collin,3-Arlington,THV MIECHV,142
2020,Collin,3-Arlington,TNFP,26
2020,Comal,8-San Antonio,HIP,1
2020,Comal,8-San Antonio,HOPES,3
2020,Comal,8-San Antonio,THV MIECHV,1
2020,Comal,8-San Antonio,TNFP,6
