Year,County,Region,Stage,Type,Count
2020,Anderson,4-Tyler,Investigation,Emergency Shelter,2
2020,Anderson,4-Tyler,Investigation,Family/Kinship Foster Home,22
2020,Anderson,4-Tyler,Investigation,Non-Relative Foster Home,17
2020,Anderson,4-Tyler,Investigation,Other,8
2020,Anderson,4-Tyler,Family Preservation,Family/Kinship Foster Home,7
2020,Anderson,4-Tyler,Family Preservation,Non-Relative Foster Home,6
2020,Anderson,4-Tyler,Family Preservation,Other,2
2020,Andrews,9-Midland,Investigation,Family/Kinship Foster Home,7
2020,Andrews,9-Midland,Investigation,Non-Relative Foster Home,1
2020,Andrews,9-Midland,Investigation,Other,2
2020,Andrews,9-Midland,Family Preservation,Family/Kinship Foster Home,1
2020,Andrews,9-Midland,Family Preservation,Non-Relative Foster Home,1
2020,Andrews,9-Midland,Family Preservation,Other,1
2020,Angelina,5-Beaumont,Investigation,Family/Kinship Foster Home,13
2020,Angelina,5-Beaumont,Investigation,Non-Relative Foster Home,23
2020,Angelina,5-Beaumont,Investigation,Other,8
2020,Angelina,5-Beaumont,Family Preservation,Family/Kinship Foster Home,8
2020,Angelina,5-Beaumont,Family Preservation,Non-Relative Foster Home,5
2020,Angelina,5-Beaumont,Family Preservation,Other,2
2020,Aransas,11-Edinburg,Investigation,Family/Kinship Foster Home,9
2020,Aransas,11-Edinburg,Investigation,Non-Relative Foster Home,5
2020,Aransas,11-Edinburg,Investigation,Other,1
2020,Aransas,11-Edinburg,Family Preservation,Emergency Shelter,3
2020,Aransas,11-Edinburg,Family Preservation,Family/Kinship Foster Home,7
2020,Aransas,11-Edinburg,Family Preservation,Non-Relative Foster Home,2
2020,Aransas,11-Edinburg,Family Preservation,Other,2
2020,Archer,2-Abilene,Investigation,Family/Kinship Foster Home,6
2020,Atascosa,8-San Antonio,Investigation,Emergency Shelter,22
2020,Atascosa,8-San Antonio,Investigation,Family/Kinship Foster Home,22
2020,Atascosa,8-San Antonio,Investigation,Non-Relative Foster Home,16
2020,Atascosa,8-San Antonio,Investigation,Other,11
2020,Atascosa,8-San Antonio,Family Preservation,Family/Kinship Foster Home,11
2020,Atascosa,8-San Antonio,Family Preservation,GRO/RTC,3
2020,Atascosa,8-San Antonio,Family Preservation,Non-Relative Foster Home,1
2020,Atascosa,8-San Antonio,Family Preservation,GRO/RTC,1
2020,Austin,6-Houston,Investigation,Non-Relative Foster Home,3
2020,Austin,6-Houston,Family Preservation,Family/Kinship Foster Home,1
2020,Austin,6-Houston,Family Preservation,Non-Relative Foster Home,3
2020,Bailey,1-Lubbock,Investigation,Emergency Shelter,2
2020,Bailey,1-Lubbock,Investigation,Family/Kinship Foster Home,7
2020,Bailey,1-Lubbock,Investigation,GRO/RTC,1
2020,Bailey,1-Lubbock,Investigation,Non-Relative Foster Home,9
2020,Bailey,1-Lubbock,Investigation,Other,2
2020,Bandera,8-San Antonio,Investigation,Emergency Shelter,2
2020,Bandera,8-San Antonio,Investigation,GRO/RTC,1
2020,Bandera,8-San Antonio,Investigation,Non-Relative Foster Home,3
2020,Bandera,8-San Antonio,Investigation,Other,2
2020,Bandera,8-San Antonio,Family Preservation,Family/Kinship Foster Home,6
2020,Bastrop,7-Austin,Investigation,Emergency Shelter,10
2020,Bastrop,7-Austin,Investigation,Family/Kinship Foster Home,50
2020,Bastrop,7-Austin,Investigation,Non-Relative Foster Home,14
2020,Bastrop,7-Austin,Investigation,Other,10
2020,Bastrop,7-Austin,Investigation,GRO/RTC,2
2020,Bastrop,7-Austin,Family Preservation,Emergency Shelter,4
2020,Bastrop,7-Austin,Family Preservation,Family/Kinship Foster Home,7
2020,Bastrop,7-Austin,Family Preservation,Other,1
2020,Baylor,2-Abilene,Investigation,Family/Kinship Foster Home,3
2020,Baylor,2-Abilene,Investigation,Non-Relative Foster Home,5
2020,Baylor,2-Abilene,Family Preservation,Family/Kinship Foster Home,6
2020,Baylor,2-Abilene,Family Preservation,Other,2
2020,Bee,11-Edinburg,Investigation,Emergency Shelter,4
2020,Bee,11-Edinburg,Investigation,Family/Kinship Foster Home,3
2020,Bee,11-Edinburg,Investigation,Non-Relative Foster Home,4
2020,Bee,11-Edinburg,Investigation,Other,1
2020,Bee,11-Edinburg,Family Preservation,Family/Kinship Foster Home,5
2020,Bell,7-Austin,Investigation,Emergency Shelter,85
2020,Bell,7-Austin,Investigation,Family/Kinship Foster Home,285
2020,Bell,7-Austin,Investigation,Non-Relative Foster Home,198
2020,Bell,7-Austin,Investigation,Other,100
2020,Bell,7-Austin,Investigation,GRO/RTC,2
2020,Bell,7-Austin,Family Preservation,Emergency Shelter,2
2020,Bell,7-Austin,Family Preservation,Family/Kinship Foster Home,32
2020,Bell,7-Austin,Family Preservation,Non-Relative Foster Home,25
2020,Bell,7-Austin,Family Preservation,Other,10
2020,Bexar,8-San Antonio,Investigation,Emergency Shelter,279
2020,Bexar,8-San Antonio,Investigation,Family/Kinship Foster Home,264
2020,Bexar,8-San Antonio,Investigation,GRO/RTC,10
2020,Bexar,8-San Antonio,Investigation,Non-Relative Foster Home,324
2020,Bexar,8-San Antonio,Investigation,Other,210
2020,Bexar,8-San Antonio,Investigation,GRO/RTC,10
2020,Bexar,8-San Antonio,Family Preservation,Emergency Shelter,173
2020,Bexar,8-San Antonio,Family Preservation,Family/Kinship Foster Home,246
2020,Bexar,8-San Antonio,Family Preservation,GRO/RTC,4
2020,Bexar,8-San Antonio,Family Preservation,Non-Relative Foster Home,154
2020,Bexar,8-San Antonio,Family Preservation,Other,65
2020,Blanco,7-Austin,Investigation,Family/Kinship Foster Home,4
2020,Blanco,7-Austin,Investigation,Non-Relative Foster Home,6
2020,Blanco,7-Austin,Investigation,Other,1
2020,Bosque,7-Austin,Investigation,Emergency Shelter,7
2020,Bosque,7-Austin,Investigation,Family/Kinship Foster Home,22
2020,Bosque,7-Austin,Investigation,Non-Relative Foster Home,11
2020,Bosque,7-Austin,Investigation,Other,2
2020,Bosque,7-Austin,Family Preservation,Family/Kinship Foster Home,1
2020,Bowie,4-Tyler,Investigation,Emergency Shelter,9
2020,Bowie,4-Tyler,Investigation,Family/Kinship Foster Home,37
2020,Bowie,4-Tyler,Investigation,Non-Relative Foster Home,14
2020,Bowie,4-Tyler,Investigation,Other,6
2020,Bowie,4-Tyler,Family Preservation,Emergency Shelter,2
2020,Bowie,4-Tyler,Family Preservation,Family/Kinship Foster Home,1
2020,Bowie,4-Tyler,Family Preservation,Non-Relative Foster Home,5
2020,Brazoria,6-Houston,Investigation,Emergency Shelter,4
2020,Brazoria,6-Houston,Investigation,Family/Kinship Foster Home,26
2020,Brazoria,6-Houston,Investigation,Non-Relative Foster Home,21
2020,Brazoria,6-Houston,Investigation,Other,8
2020,Brazoria,6-Houston,Family Preservation,Emergency Shelter,1
2020,Brazoria,6-Houston,Family Preservation,Family/Kinship Foster Home,21
2020,Brazoria,6-Houston,Family Preservation,Non-Relative Foster Home,7
2020,Brazoria,6-Houston,Family Preservation,Other,1
2020,Brazoria,6-Houston,Family Preservation,GRO/RTC,1
2020,Brazos,7-Austin,Investigation,Emergency Shelter,6
2020,Brazos,7-Austin,Investigation,Family/Kinship Foster Home,43
2020,Brazos,7-Austin,Investigation,GRO/RTC,2
2020,Brazos,7-Austin,Investigation,Non-Relative Foster Home,22
2020,Brazos,7-Austin,Investigation,Other,15
2020,Brazos,7-Austin,Investigation,GRO/RTC,1
2020,Brazos,7-Austin,Family Preservation,Family/Kinship Foster Home,1
2020,Brazos,7-Austin,Family Preservation,Other,8
2020,Brewster,10-El Paso,Investigation,Family/Kinship Foster Home,1
2020,Brewster,10-El Paso,Family Preservation,Other,6
2020,Brooks,11-Edinburg,Investigation,Family/Kinship Foster Home,5
2020,Brooks,11-Edinburg,Investigation,Non-Relative Foster Home,1
2020,Brooks,11-Edinburg,Family Preservation,Emergency Shelter,2
2020,Brooks,11-Edinburg,Family Preservation,Family/Kinship Foster Home,3
2020,Brooks,11-Edinburg,Family Preservation,Other,1
2020,Brown,2-Abilene,Investigation,Emergency Shelter,2
2020,Brown,2-Abilene,Investigation,Family/Kinship Foster Home,37
2020,Brown,2-Abilene,Investigation,Non-Relative Foster Home,14
2020,Brown,2-Abilene,Investigation,Other,11
2020,Brown,2-Abilene,Family Preservation,Family/Kinship Foster Home,14
2020,Brown,2-Abilene,Family Preservation,Non-Relative Foster Home,6
2020,Brown,2-Abilene,Family Preservation,Other,6
2020,Brown,2-Abilene,Family Preservation,GRO/RTC,1
2020,Burleson,7-Austin,Investigation,Family/Kinship Foster Home,25
2020,Burleson,7-Austin,Investigation,Non-Relative Foster Home,5
2020,Burleson,7-Austin,Investigation,Other,5
2020,Burleson,7-Austin,Investigation,GRO/RTC,1
2020,Burleson,7-Austin,Family Preservation,Emergency Shelter,2
2020,Burleson,7-Austin,Family Preservation,Non-Relative Foster Home,2
2020,Burnet,7-Austin,Investigation,Emergency Shelter,3
2020,Burnet,7-Austin,Investigation,Family/Kinship Foster Home,68
2020,Burnet,7-Austin,Investigation,Non-Relative Foster Home,16
2020,Burnet,7-Austin,Investigation,Other,6
2020,Burnet,7-Austin,Family Preservation,Emergency Shelter,1
2020,Burnet,7-Austin,Family Preservation,Family/Kinship Foster Home,5
2020,Burnet,7-Austin,Family Preservation,Non-Relative Foster Home,2
2020,Caldwell,7-Austin,Investigation,Emergency Shelter,3
2020,Caldwell,7-Austin,Investigation,Family/Kinship Foster Home,22
2020,Caldwell,7-Austin,Investigation,Non-Relative Foster Home,13
2020,Caldwell,7-Austin,Investigation,Other,3
2020,Caldwell,7-Austin,Investigation,GRO/RTC,1
2020,Caldwell,7-Austin,Family Preservation,Family/Kinship Foster Home,16
2020,Caldwell,7-Austin,Family Preservation,Non-Relative Foster Home,4
2020,Calhoun,8-San Antonio,Investigation,Family/Kinship Foster Home,1
2020,Calhoun,8-San Antonio,Investigation,Non-Relative Foster Home,5
2020,Calhoun,8-San Antonio,Family Preservation,Family/Kinship Foster Home,4
2020,Callahan,2-Abilene,Investigation,Family/Kinship Foster Home,6
2020,Callahan,2-Abilene,Investigation,Non-Relative Foster Home,4
2020,Callahan,2-Abilene,Family Preservation,Family/Kinship Foster Home,4
2020,Callahan,2-Abilene,Family Preservation,Non-Relative Foster Home,1
2020,Cameron,11-Edinburg,Investigation,Emergency Shelter,28
2020,Cameron,11-Edinburg,Investigation,Family/Kinship Foster Home,34
2020,Cameron,11-Edinburg,Investigation,GRO/RTC,2
2020,Cameron,11-Edinburg,Investigation,Non-Relative Foster Home,82
2020,Cameron,11-Edinburg,Investigation,Other,10
2020,Cameron,11-Edinburg,Family Preservation,Emergency Shelter,17
2020,Cameron,11-Edinburg,Family Preservation,Family/Kinship Foster Home,45
2020,Cameron,11-Edinburg,Family Preservation,Non-Relative Foster Home,25
