Region,County,Year,fips,lon,lat,Child_Population,Total_Population,DFPS_children_Total_County,Adopt_Need_Total_County,Homes_Total_County,Removals_Total_County,Total_Families_Served_HOPES,Total_Families_Served_HIP,Total_Families_Served_TNFP,Total_Families_Served_THV_MIECHV,Total_Families_Served_THV_STATE,Total_Families_Served_THV
1-Lubbock,Armstrong,2011,48011,-101.3572412,34.96522076,411,1906,2,NA,1,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2012,48011,-101.3572412,34.96522076,396,1913,5,NA,NA,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2013,48011,-101.3572412,34.96522076,376,1919,7,NA,NA,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2014,48011,-101.3572412,34.96522076,373,1928,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2015,48011,-101.3572412,34.96522076,375,1942,1,NA,1,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2016,48011,-101.3572412,34.96522076,366,1951,2,NA,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2017,48011,-101.3572412,34.96522076,359,1952,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2018,48011,-101.3572412,34.96522076,355,1954,4,NA,2,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2019,48011,-101.3572412,34.96522076,338,1951,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2020,48011,-101.3572412,34.96522076,338,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Armstrong,2021,48011,-101.3572412,34.96522076,339,1946,NA,NA,NA,NA,NA,NA,NA,1,NA,1
1-Lubbock,Bailey,2011,48017,-102.8299069,34.0684915,2228,7199,29,7,2,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2012,48017,-102.8299069,34.0684915,2242,7246,33,8,NA,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2013,48017,-102.8299069,34.0684915,2265,7307,25,2,1,5,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2014,48017,-102.8299069,34.0684915,2267,7356,32,7,1,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2015,48017,-102.8299069,34.0684915,2295,7413,22,5,NA,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2016,48017,-102.8299069,34.0684915,2311,7464,16,6,2,5,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2017,48017,-102.8299069,34.0684915,2326,7525,17,4,NA,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2018,48017,-102.8299069,34.0684915,2345,7582,19,3,NA,11,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2019,48017,-102.8299069,34.0684915,2335,7638,34,4,NA,18,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2020,48017,-102.8299069,34.0684915,2325,7692,45,13,NA,21,NA,NA,NA,NA,NA,NA
1-Lubbock,Bailey,2021,48017,-102.8299069,34.0684915,2325,7749,36,9,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2011,48045,-101.2085769,34.53041048,351,1617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2012,48045,-101.2085769,34.53041048,339,1610,2,NA,1,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2013,48045,-101.2085769,34.53041048,338,1602,2,NA,1,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2014,48045,-101.2085769,34.53041048,331,1600,3,1,1,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2015,48045,-101.2085769,34.53041048,327,1593,5,3,1,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2016,48045,-101.2085769,34.53041048,332,1587,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2017,48045,-101.2085769,34.53041048,321,1582,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2018,48045,-101.2085769,34.53041048,315,1576,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2019,48045,-101.2085769,34.53041048,318,1572,3,NA,2,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2020,48045,-101.2085769,34.53041048,311,1568,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Briscoe,2021,48045,-101.2085769,34.53041048,303,1563,4,3,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2011,48065,-101.3542037,35.40346802,1531,6130,5,NA,2,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2012,48065,-101.3542037,35.40346802,1491,6081,11,NA,1,5,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2013,48065,-101.3542037,35.40346802,1463,6036,6,NA,1,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2014,48065,-101.3542037,35.40346802,1420,5989,12,NA,2,6,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2015,48065,-101.3542037,35.40346802,1382,5952,11,1,2,6,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2016,48065,-101.3542037,35.40346802,1361,5906,13,2,2,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2017,48065,-101.3542037,35.40346802,1348,5877,17,NA,2,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2018,48065,-101.3542037,35.40346802,1336,5848,23,3,2,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2019,48065,-101.3542037,35.40346802,1317,5832,26,5,2,12,NA,NA,NA,NA,NA,NA
1-Lubbock,Carson,2020,48065,-101.3542037,35.40346802,1317,5799,19,6,1,1,NA,NA,NA,1,NA,1
1-Lubbock,Carson,2021,48065,-101.3542037,35.40346802,1308,5787,14,2,NA,5,NA,NA,NA,1,NA,1
1-Lubbock,Castro,2011,48069,-102.2617608,34.53000304,2429,7932,4,NA,5,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2012,48069,-102.2617608,34.53000304,2344,7827,31,NA,5,30,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2013,48069,-102.2617608,34.53000304,2277,7727,36,16,3,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2014,48069,-102.2617608,34.53000304,2220,7637,40,9,3,7,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2015,48069,-102.2617608,34.53000304,2161,7549,24,6,3,8,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2016,48069,-102.2617608,34.53000304,2092,7458,26,1,3,12,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2017,48069,-102.2617608,34.53000304,2046,7365,17,1,3,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2018,48069,-102.2617608,34.53000304,2007,7275,11,1,3,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2019,48069,-102.2617608,34.53000304,1956,7190,17,1,3,13,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2020,48069,-102.2617608,34.53000304,1932,7103,14,1,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Castro,2021,48069,-102.2617608,34.53000304,1904,7024,16,5,NA,7,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2011,48075,-100.2075664,34.52929257,1472,7036,16,7,1,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2012,48075,-100.2075664,34.52929257,1483,7048,24,6,NA,9,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2013,48075,-100.2075664,34.52929257,1457,7060,18,7,NA,5,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2014,48075,-100.2075664,34.52929257,1464,7062,10,4,NA,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2015,48075,-100.2075664,34.52929257,1450,7071,8,2,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2016,48075,-100.2075664,34.52929257,1446,7079,13,5,NA,8,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2017,48075,-100.2075664,34.52929257,1442,7079,26,8,NA,13,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2018,48075,-100.2075664,34.52929257,1425,7078,27,1,NA,8,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2019,48075,-100.2075664,34.52929257,1431,7068,29,3,NA,8,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2020,48075,-100.2075664,34.52929257,1408,7062,25,6,NA,9,NA,NA,NA,NA,NA,NA
1-Lubbock,Childress,2021,48075,-100.2075664,34.52929257,1404,7053,26,2,NA,5,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2011,48079,-102.8285264,33.60410808,902,3124,6,1,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2012,48079,-102.8285264,33.60410808,894,3130,7,1,NA,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2013,48079,-102.8285264,33.60410808,897,3142,7,2,NA,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2014,48079,-102.8285264,33.60410808,899,3165,7,5,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2015,48079,-102.8285264,33.60410808,906,3189,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2016,48079,-102.8285264,33.60410808,924,3219,4,NA,2,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2017,48079,-102.8285264,33.60410808,926,3251,6,NA,NA,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2018,48079,-102.8285264,33.60410808,945,3279,4,3,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2019,48079,-102.8285264,33.60410808,968,3315,9,NA,NA,9,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2020,48079,-102.8285264,33.60410808,977,3348,8,NA,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Cochran,2021,48079,-102.8285264,33.60410808,971,3371,9,NA,NA,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2011,48087,-100.2700733,34.96498493,836,3057,10,4,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2012,48087,-100.2700733,34.96498493,826,3060,11,NA,NA,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2013,48087,-100.2700733,34.96498493,834,3076,5,NA,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2014,48087,-100.2700733,34.96498493,828,3093,11,2,NA,6,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2015,48087,-100.2700733,34.96498493,821,3106,10,2,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2016,48087,-100.2700733,34.96498493,829,3127,7,1,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2017,48087,-100.2700733,34.96498493,838,3151,5,2,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2018,48087,-100.2700733,34.96498493,845,3172,7,NA,NA,4,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2019,48087,-100.2700733,34.96498493,850,3188,10,2,NA,7,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2020,48087,-100.2700733,34.96498493,849,3210,19,1,1,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Collingsworth,2021,48087,-100.2700733,34.96498493,856,3227,14,NA,NA,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2011,48107,-101.2998612,33.61459873,1695,6075,26,8,3,2,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2012,48107,-101.2998612,33.61459873,1665,6097,16,2,NA,6,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2013,48107,-101.2998612,33.61459873,1660,6134,16,4,1,7,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2014,48107,-101.2998612,33.61459873,1667,6182,22,8,NA,9,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2015,48107,-101.2998612,33.61459873,1666,6235,35,10,NA,16,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2016,48107,-101.2998612,33.61459873,1656,6274,53,10,NA,26,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2017,48107,-101.2998612,33.61459873,1663,6326,40,19,2,12,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2018,48107,-101.2998612,33.61459873,1659,6363,30,6,NA,9,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2019,48107,-101.2998612,33.61459873,1669,6413,28,4,1,12,NA,NA,NA,NA,NA,NA
1-Lubbock,Crosby,2020,48107,-101.2998612,33.61459873,1671,6464,32,1,NA,17,NA,NA,3,NA,NA,NA
1-Lubbock,Crosby,2021,48107,-101.2998612,33.61459873,1677,6509,24,NA,NA,8,NA,NA,3,NA,NA,NA
1-Lubbock,Dallam,2011,48111,-102.6021647,36.27777107,2000,6728,11,NA,1,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2012,48111,-102.6021647,36.27777107,2023,6765,11,3,1,3,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2013,48111,-102.6021647,36.27777107,2050,6821,12,4,NA,NA,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2014,48111,-102.6021647,36.27777107,2082,6884,9,4,NA,1,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2015,48111,-102.6021647,36.27777107,2110,6943,21,3,NA,12,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2016,48111,-102.6021647,36.27777107,2146,6993,29,10,1,10,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2017,48111,-102.6021647,36.27777107,2169,7060,31,5,2,11,1,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2018,48111,-102.6021647,36.27777107,2190,7112,31,10,1,14,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2019,48111,-102.6021647,36.27777107,2230,7173,34,10,NA,16,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2020,48111,-102.6021647,36.27777107,2254,7237,47,9,1,21,NA,NA,NA,NA,NA,NA
1-Lubbock,Dallam,2021,48111,-102.6021647,36.27777107,2275,7301,50,16,NA,20,NA,NA,NA,NA,NA,NA
1-Lubbock,Deaf Smith,2011,48117,-102.6048162,34.96602014,6150,19213,52,3,4,34,NA,NA,NA,NA,NA,NA
1-Lubbock,Deaf Smith,2012,48117,-102.6048162,34.96602014,6063,19069,55,13,1,14,NA,NA,NA,NA,NA,NA
1-Lubbock,Deaf Smith,2013,48117,-102.6048162,34.96602014,5996,18947,56,15,2,17,NA,NA,NA,NA,NA,NA
1-Lubbock,Deaf Smith,2014,48117,-102.6048162,34.96602014,5923,18813,55,16,2,21,NA,NA,NA,NA,NA,NA
1-Lubbock,Deaf Smith,2015,48117,-102.6048162,34.96602014,5872,18697,52,15,3,13,NA,NA,NA,NA,NA,NA
1-Lubbock,Deaf Smith,2016,48117,-102.6048162,34.96602014,5790,18578,73,19,2,34,NA,NA,NA,NA,NA,NA
