"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Anderson","$36,027","$2,080,020,000","$48,461","$45,799","19.8","23.8"
"Andrews","$51,769","$968,334,000","$74,918","$69,845","10.2","12.7"
"Angelina","$39,644","$3,437,761,000","$51,750","$40,974","15.6","22.6"
"Aransas","$51,614","$1,213,451,000","$53,085","$39,316","18.7","32.1"
"Archer","$52,335","$447,617,000","$63,731","$38,006","10.3","12.8"
"Armstrong","$53,422","$100,807,000","$64,424","$42,240","10.6","16.7"
"Atascosa","$37,644","$1,925,578,000","$57,309","$55,264","14.7","19"
"Austin","$51,118","$1,535,171,000","$68,311","$49,650","11.1","17"
"Bailey","$44,665","$312,657,000","$46,174","$39,542","15.9","25.8"
"Bandera","$44,925","$1,038,296,000","$59,604","$37,215","12.9","23.6"
"Bastrop","$38,289","$3,397,143,000","$62,627","$40,661","14","23.8"
"Baylor","$46,615","$163,573,000","$41,539","$34,452","15.9","24.5"
"Bee","$29,792","$970,173,000","$44,171","$38,345","24","27.8"
"Bell","$43,919","$15,939,217,000","$54,831","$48,842","13.8","18.4"
"Bexar","$47,830","$95,829,678,000","$58,956","$52,560","15.2","22.4"
"Blanco","$54,814","$653,991,000","$68,404","$49,686","8.6","14.7"
"Borden","$61,287","$40,082,000","$71,926","$41,767","10.6","15.4"
"Bosque","$42,366","$791,602,000","$55,179","$41,632","13.7","19.7"
"Bowie","$41,172","$3,839,053,000","$51,207","$41,088","16.8","23.3"
"Brazoria","$48,374","$18,104,830,000","$83,704","$58,755","8.6","11.1"
"Brazos","$41,348","$9,477,504,000","$54,471","$42,552","20","19.4"
"Brewster","$48,422","$445,624,000","$48,581","$40,642","13.1","19.8"
"Briscoe","$44,413","$68,663,000","$44,259","$32,043","15","24.6"
"Brooks","$36,558","$259,309,000","$31,410","$43,244","29.6","44.4"
"Brown","$39,661","$1,501,734,000","$56,040","$38,752","13.7","21.8"
"Burleson","$45,970","$847,823,000","$61,745","$47,721","13.8","21.8"
