County,Econ_Region,Region_Num,Color_Fill
Atascosa,Alamo,1,#8ca5a6
Bandera,Alamo,1,#8ca5a7
Bexar,Alamo,1,#8ca5a8
Calhoun,Alamo,1,#8ca5a9
Comal,Alamo,1,#8ca5a10
DeWitt,Alamo,1,#8ca5a11
Frio,Alamo,1,#8ca5a12
Gillespie,Alamo,1,#8ca5a13
Goliad,Alamo,1,#8ca5a14
Gonzales,Alamo,1,#8ca5a15
Guadalupe,Alamo,1,#8ca5a16
Jackson,Alamo,1,#8ca5a17
Karnes,Alamo,1,#8ca5a18
Kendall,Alamo,1,#8ca5a19
Kerr,Alamo,1,#8ca5a20
Lavaca,Alamo,1,#8ca5a21
Medina,Alamo,1,#8ca5a22
Victoria,Alamo,1,#8ca5a23
Wilson,Alamo,1,#8ca5a24
Bastrop,Capital,2,#c98c8f
Blanco,Capital,2,#c98c8f
Burnet,Capital,2,#c98c8f
Caldwell,Capital,2,#c98c8f
Fayette,Capital,2,#c98c8f
Hays,Capital,2,#c98c8f
Lee,Capital,2,#c98c8f
Llano,Capital,2,#c98c8f
Travis,Capital,2,#c98c8f
Williamson,Capital,2,#c98c8f
Bell,Central,3,#a894ab
Bosque,Central,3,#a894ab
Brazos,Central,3,#a894ab
Burleson,Central,3,#a894ab
Coryell,Central,3,#a894ab
Falls,Central,3,#a894ab
Freestone,Central,3,#a894ab
Grimes,Central,3,#a894ab
Hamilton,Central,3,#a894ab
Hill,Central,3,#a894ab
Lampasas,Central,3,#a894ab
Leon,Central,3,#a894ab
Limestone,Central,3,#a894ab
Madison,Central,3,#a894ab
McLennan,Central,3,#a894ab
Milam,Central,3,#a894ab
Mills,Central,3,#a894ab
Robertson,Central,3,#a894ab
San Saba,Central,3,#a894ab
Washington,Central,3,#a894ab
Austin,Gulf Coast,4,#b08593
Brazoria,Gulf Coast,4,#b08594
Chambers,Gulf Coast,4,#b08595
Colorado,Gulf Coast,4,#b08596
Fort Bend,Gulf Coast,4,#b08597
Galveston,Gulf Coast,4,#b08598
Harris,Gulf Coast,4,#b08599
Liberty,Gulf Coast,4,#b08600
Matagorda,Gulf Coast,4,#b08601
Montgomery,Gulf Coast,4,#b08602
Walker,Gulf Coast,4,#b08603
Waller,Gulf Coast,4,#b08604
Wharton,Gulf Coast,4,#b08605
Armstrong,High Plains,5,#d8ba93
Bailey,High Plains,5,#d8ba94
Briscoe,High Plains,5,#d8ba95
Carson,High Plains,5,#d8ba96
Castro,High Plains,5,#d8ba97
Childress,High Plains,5,#d8ba98
Cochran,High Plains,5,#d8ba99
Collingsworth,High Plains,5,#d8ba100
Crosby,High Plains,5,#d8ba101
Dallam,High Plains,5,#d8ba102
Deaf Smith,High Plains,5,#d8ba103
Dickens,High Plains,5,#d8ba104
Donley,High Plains,5,#d8ba105
Floyd,High Plains,5,#d8ba106
Garza,High Plains,5,#d8ba107
Gray,High Plains,5,#d8ba108
Hale,High Plains,5,#d8ba109
Hall,High Plains,5,#d8ba110
Hansford,High Plains,5,#d8ba111
Hartley,High Plains,5,#d8ba112
Hemphill,High Plains,5,#d8ba113
Hockley,High Plains,5,#d8ba114
Hutchinson,High Plains,5,#d8ba115
King,High Plains,5,#d8ba116
Lamb,High Plains,5,#d8ba117
Lipscomb,High Plains,5,#d8ba118
Lubbock,High Plains,5,#d8ba119
Lynn,High Plains,5,#d8ba120
Moore,High Plains,5,#d8ba121
Motley,High Plains,5,#d8ba122
Ochiltree,High Plains,5,#d8ba123
Oldham,High Plains,5,#d8ba124
Parmer,High Plains,5,#d8ba125
Potter,High Plains,5,#d8ba126
Randall,High Plains,5,#d8ba127
Roberts,High Plains,5,#d8ba128
Sherman,High Plains,5,#d8ba129
Swisher,High Plains,5,#d8ba130
Terry,High Plains,5,#d8ba131
Wheeler,High Plains,5,#d8ba132
Yoakum,High Plains,5,#d8ba133
Collin,Metroplex,6,#8c95a2
Cooke,Metroplex,6,#8c95a3
Dallas,Metroplex,6,#8c95a4
Denton,Metroplex,6,#8c95a5
Ellis,Metroplex,6,#8c95a6
Erath,Metroplex,6,#8c95a7
Fannin,Metroplex,6,#8c95a8
Grayson,Metroplex,6,#8c95a9
Hood,Metroplex,6,#8c95a10
Hunt,Metroplex,6,#8c95a11
Johnson,Metroplex,6,#8c95a12
Kaufman,Metroplex,6,#8c95a13
Navarro,Metroplex,6,#8c95a14
Palo Pinto,Metroplex,6,#8c95a15
Parker,Metroplex,6,#8c95a16
