Year,County,Region,Child_Population,% of Children in Total Population,Total_Population
2020,Anderson,4-Tyler,10766,19,58199
2020,Andrews,9-Midland,6851,31,22269
2020,Angelina,5-Beaumont,23070,26,90437
2020,Aransas,11-Edinburg,5226,19,27699
2020,Archer,2-Abilene,1700,20,8344
2020,Armstrong,1-Lubbock,338,17,1948
2020,Atascosa,8-San Antonio,13408,26,51831
2020,Austin,6-Houston,6938,23,30402
2020,Bailey,1-Lubbock,2325,30,7692
2020,Bandera,8-San Antonio,3432,16,21246
2020,Bastrop,7-Austin,20808,24,86105
2020,Baylor,2-Abilene,809,22,3624
2020,Bee,11-Edinburg,7568,22,34445
2020,Bell,7-Austin,102689,29,353629
2020,Bexar,8-San Antonio,533642,25,2093502
2020,Blanco,7-Austin,2115,18,11504
2020,Borden,9-Midland,113,17,685
2020,Bosque,7-Austin,3718,21,17765
2020,Bowie,4-Tyler,19598,21,92570
2020,Brazoria,6-Houston,94183,25,375869
2020,Brazos,7-Austin,50377,22,229410
2020,Brewster,10-El Paso,2035,22,9133
2020,Briscoe,1-Lubbock,311,20,1568
2020,Brooks,11-Edinburg,1836,26,7175
2020,Brown,2-Abilene,8466,22,38923
2020,Burleson,7-Austin,3979,22,17718
2020,Burnet,7-Austin,10343,21,48196
2020,Caldwell,7-Austin,10970,25,44284
2020,Calhoun,8-San Antonio,5685,25,22840
2020,Callahan,2-Abilene,2581,19,13456
2020,Cameron,11-Edinburg,124912,29,427881
2020,Camp,4-Tyler,3304,25,13322
2020,Carson,1-Lubbock,1317,23,5799
2020,Cass,4-Tyler,6691,22,30327
2020,Castro,1-Lubbock,1932,27,7103
2020,Chambers,6-Houston,10887,26,42320
2020,Cherokee,4-Tyler,13180,25,52178
2020,Childress,1-Lubbock,1408,20,7062
2020,Clay,2-Abilene,1915,20,9787
2020,Cochran,1-Lubbock,977,29,3348
2020,Coke,9-Midland,605,19,3215
2020,Coleman,2-Abilene,1949,23,8478
2020,Collin,3-Arlington,258321,25,1039369
2020,Collingsworth,1-Lubbock,849,26,3210
2020,Colorado,6-Houston,4956,23,21273
2020,Comal,8-San Antonio,32639,22,147330
2020,Comanche,2-Abilene,2960,23,13075
2020,Concho,9-Midland,572,14,4147
2020,Cooke,3-Arlington,8980,23,39727
2020,Coryell,7-Austin,19682,25,78317
2020,Cottle,2-Abilene,310,21,1510
2020,Crane,9-Midland,1775,29,6209
2020,Crockett,9-Midland,1007,25,4040
2020,Crosby,1-Lubbock,1671,26,6464
2020,Culberson,10-El Paso,454,20,2245
2020,Dallam,1-Lubbock,2254,31,7237
2020,Dallas,3-Arlington,728017,27,2734111
2020,Dawson,9-Midland,3267,24,13592
2020,DeWitt,8-San Antonio,4724,22,21737
2020,Deaf Smith,1-Lubbock,5491,30,18143
2020,Delta,4-Tyler,1123,21,5367
2020,Denton,3-Arlington,210980,24,897953
2020,Dickens,1-Lubbock,321,15,2174
2020,Dimmit,8-San Antonio,3480,30,11743
2020,Donley,1-Lubbock,674,20,3410
2020,Duval,11-Edinburg,3077,26,11796
2020,Eastland,2-Abilene,4078,22,18205
2020,Ector,9-Midland,54638,30,184841
2020,Edwards,8-San Antonio,404,20,1991
2020,El Paso,10-El Paso,242335,28,876120
2020,Ellis,3-Arlington,44872,25,177721
2020,Erath,3-Arlington,8926,21,41526
2020,Falls,7-Austin,3330,20,16603
2020,Fannin,3-Arlington,6968,20,34597
2020,Fayette,7-Austin,5813,22,26086
2020,Fisher,2-Abilene,831,21,3985
2020,Floyd,1-Lubbock,1449,25,5786
2020,Foard,2-Abilene,244,20,1240
2020,Fort Bend,6-Houston,210803,25,840383
2020,Franklin,4-Tyler,2752,25,10924
2020,Freestone,7-Austin,4391,22,19860
2020,Frio,8-San Antonio,4661,23,20023
2020,Gaines,9-Midland,7336,33,22121
2020,Galveston,6-Houston,85826,24,355196
2020,Garza,1-Lubbock,1400,21,6784
2020,Gillespie,8-San Antonio,5015,19,26191
2020,Glasscock,9-Midland,299,22,1365
2020,Goliad,8-San Antonio,1527,20,7717
2020,Gonzales,8-San Antonio,5613,26,21347
2020,Gray,1-Lubbock,6048,25,24252
2020,Grayson,3-Arlington,30635,23,131710
2020,Gregg,4-Tyler,31879,25,125730
2020,Grimes,7-Austin,6372,22,28930
2020,Guadalupe,8-San Antonio,42151,25,170266
2020,Hale,1-Lubbock,9045,27,33202
2020,Hall,1-Lubbock,775,23,3305
2020,Hamilton,7-Austin,1827,22,8220
2020,Hansford,1-Lubbock,1643,28,5820
2020,Hardeman,2-Abilene,942,24,3870
2020,Hardin,5-Beaumont,12509,22,56486
2020,Harris,6-Houston,1330726,27,4978845
2020,Harrison,4-Tyler,17387,25,68247
2020,Hartley,1-Lubbock,1192,20,6067
2020,Haskell,2-Abilene,1243,20,6197
2020,Hays,7-Austin,52771,22,234896
2020,Hemphill,1-Lubbock,1478,32,4644
2020,Henderson,4-Tyler,16944,21,81179
2020,Hidalgo,11-Edinburg,258163,30,870366
2020,Hill,7-Austin,8441,24,35673
2020,Hockley,1-Lubbock,6524,26,24636
2020,Hood,3-Arlington,11711,20,58643
2020,Hopkins,4-Tyler,8635,23,37040
2020,Houston,5-Beaumont,4522,20,22620
2020,Howard,9-Midland,9553,23,41236
2020,Hudspeth,10-El Paso,720,21,3400
2020,Hunt,3-Arlington,21890,23,95324
2020,Hutchinson,1-Lubbock,5340,25,21461
2020,Irion,9-Midland,261,17,1508
2020,Jack,2-Abilene,1914,22,8841
2020,Jackson,8-San Antonio,4140,26,15899
2020,Jasper,5-Beaumont,8283,23,35525
2020,Jeff Davis,10-El Paso,326,15,2113
2020,Jefferson,5-Beaumont,60433,23,258678
2020,Jim Hogg,11-Edinburg,1477,29,5077
2020,Jim Wells,11-Edinburg,12078,28,42890
2020,Johnson,3-Arlington,43616,25,171701
2020,Jones,2-Abilene,3242,16,19735
2020,Karnes,8-San Antonio,3338,22,15393
2020,Kaufman,3-Arlington,31590,25,125134
2020,Kendall,8-San Antonio,10300,22,46278
2020,Kenedy,11-Edinburg,101,21,476
2020,Kent,2-Abilene,149,19,795
2020,Kerr,8-San Antonio,10341,20,52267
2020,Kimble,9-Midland,800,18,4344
2020,King,1-Lubbock,52,17,309
2020,Kinney,8-San Antonio,710,21,3462
2020,Kleberg,11-Edinburg,6964,22,30987
2020,Knox,2-Abilene,989,25,3937
2020,La Salle,8-San Antonio,1650,20,8309
2020,Lamar,4-Tyler,11333,23,50014
2020,Lamb,1-Lubbock,3288,26,12776
2020,Lampasas,7-Austin,4497,21,21037
2020,Lavaca,8-San Antonio,5031,24,20735
2020,Lee,7-Austin,4219,24,17595
2020,Leon,7-Austin,3954,22,17707
2020,Liberty,6-Houston,21053,25,85284
2020,Limestone,7-Austin,5196,22,23544
2020,Lipscomb,1-Lubbock,907,25,3651
2020,Live Oak,11-Edinburg,2451,20,12030
2020,Llano,7-Austin,3141,16,19452
2020,Loving,9-Midland,14,15,92
2020,Lubbock,1-Lubbock,75186,24,317210
2020,Lynn,1-Lubbock,1346,24,5588
2020,Madison,7-Austin,3246,22,14527
2020,Marion,4-Tyler,1936,19,10294
2020,Martin,9-Midland,1681,28,6044
2020,Mason,9-Midland,757,19,3899
2020,Matagorda,6-Houston,9067,24,37064
2020,Maverick,8-San Antonio,17868,30,59938
2020,McCulloch,9-Midland,1914,22,8660
2020,McLennan,7-Austin,64314,25,253066
2020,McMullen,11-Edinburg,123,16,783
2020,Medina,8-San Antonio,11494,23,50594
2020,Menard,9-Midland,422,19,2188
2020,Midland,9-Midland,52452,28,187364
2020,Milam,7-Austin,5902,24,24635
2020,Mills,7-Austin,1029,21,4870
2020,Mitchell,2-Abilene,1882,19,9865
2020,Montague,2-Abilene,4242,22,19199
2020,Montgomery,6-Houston,152679,25,613951
2020,Moore,1-Lubbock,6309,29,21575
2020,Morris,4-Tyler,2769,22,12448
2020,Motley,1-Lubbock,215,18,1172
2020,Nacogdoches,5-Beaumont,13443,21,64106
2020,Navarro,3-Arlington,11497,24,47985
2020,Newton,5-Beaumont,2621,19,13724
2020,Nolan,2-Abilene,4039,26,15642
2020,Nueces,11-Edinburg,95469,25,383718
2020,Ochiltree,1-Lubbock,3354,30,11309
2020,Oldham,1-Lubbock,561,26,2200
2020,Orange,5-Beaumont,19718,23,86155
2020,Palo Pinto,3-Arlington,6183,22,27859
2020,Panola,4-Tyler,5956,24,24576
2020,Parker,3-Arlington,31099,23,135621
2020,Parmer,1-Lubbock,2551,28,9200
2020,Pecos,9-Midland,4021,24,16533
2020,Polk,5-Beaumont,9500,19,49080
2020,Potter,1-Lubbock,30754,25,122706
2020,Presidio,10-El Paso,1430,24,5906
2020,Rains,4-Tyler,2197,19,11378
2020,Randall,1-Lubbock,33231,24,138104
2020,Reagan,9-Midland,1184,28,4226
2020,Real,8-San Antonio,681,20,3407
2020,Red River,4-Tyler,2580,20,12610
2020,Reeves,9-Midland,3416,22,15707
2020,Refugio,11-Edinburg,1711,23,7573
2020,Roberts,1-Lubbock,221,22,983
2020,Robertson,7-Austin,3688,22,16888
2020,Rockwall,3-Arlington,24314,24,102243
2020,Runnels,2-Abilene,2576,23,11009
2020,Rusk,4-Tyler,11349,22,52767
2020,Sabine,5-Beaumont,1832,18,9936
2020,San Augustine,5-Beaumont,1629,19,8405
2020,San Jacinto,5-Beaumont,6385,22,28844
2020,San Patricio,11-Edinburg,18318,26,71325
2020,San Saba,7-Austin,1179,20,5873
2020,Schleicher,9-Midland,829,25,3312
2020,Scurry,2-Abilene,4621,25,18368
2020,Shackelford,2-Abilene,767,23,3405
2020,Shelby,5-Beaumont,6658,26,25545
2020,Sherman,1-Lubbock,855,26,3276
2020,Smith,4-Tyler,57206,24,235143
2020,Somervell,3-Arlington,1973,21,9294
2020,Starr,11-Edinburg,19930,31,64731
2020,Stephens,2-Abilene,2169,23,9570
2020,Sterling,9-Midland,259,21,1252
2020,Stonewall,2-Abilene,309,20,1523
2020,Sutton,9-Midland,995,23,4381
2020,Swisher,1-Lubbock,1772,24,7414
2020,Tarrant,3-Arlington,541243,25,2143755
2020,Taylor,2-Abilene,34267,25,139457
2020,Terrell,9-Midland,208,20,1054
2020,Terry,1-Lubbock,3460,27,13040
2020,Throckmorton,2-Abilene,311,20,1519
2020,Titus,4-Tyler,9112,28,32953
2020,Tom Green,9-Midland,28124,23,123276
2020,Travis,7-Austin,287355,22,1291502
2020,Trinity,5-Beaumont,2650,19,14233
2020,Tyler,5-Beaumont,4222,20,21343
2020,Upshur,4-Tyler,9140,22,41655
2020,Upton,9-Midland,1053,26,3983
2020,Uvalde,8-San Antonio,6960,25,27937
2020,Val Verde,8-San Antonio,13510,28,48253
2020,Van Zandt,4-Tyler,12465,22,55469
2020,Victoria,8-San Antonio,23146,24,97744
2020,Walker,6-Houston,13097,18,73997
2020,Waller,6-Houston,11528,23,50731
2020,Ward,9-Midland,3955,29,13592
2020,Washington,7-Austin,7701,22,35155
2020,Webb,11-Edinburg,81575,30,276183
2020,Wharton,6-Houston,10603,25,41941
2020,Wheeler,1-Lubbock,1471,25,5783
2020,Wichita,2-Abilene,29489,22,133138
2020,Wilbarger,2-Abilene,2978,23,13038
2020,Willacy,11-Edinburg,5419,24,22134
2020,Williamson,7-Austin,147318,25,589914
2020,Wilson,8-San Antonio,11438,22,51802
2020,Winkler,9-Midland,2869,31,9295
2020,Wise,3-Arlington,14855,23,65807
2020,Wood,4-Tyler,8963,20,45292
2020,Yoakum,1-Lubbock,2906,32,9225
2020,Young,2-Abilene,4396,23,18712
2020,Zapata,11-Edinburg,4616,32,14409
2020,Zavala,8-San Antonio,3907,31,12682
2019,Anderson,4-Tyler,10851,19,58248
2019,Andrews,9-Midland,6515,31,21305
2019,Angelina,5-Beaumont,23060,26,90151
2019,Aransas,11-Edinburg,5075,19,27198
2019,Archer,2-Abilene,1727,21,8393
2019,Armstrong,1-Lubbock,338,17,1951
2019,Atascosa,8-San Antonio,13281,26,51048
2019,Austin,6-Houston,6916,23,30207
2019,Bailey,1-Lubbock,2335,31,7638
2019,Bandera,8-San Antonio,3427,16,21174
2019,Bastrop,7-Austin,20654,24,84866
2019,Baylor,2-Abilene,805,22,3629
2019,Bee,11-Edinburg,7459,22,34195
2019,Bell,7-Austin,101702,29,349441
2019,Bexar,8-San Antonio,525295,26,2053260
2019,Blanco,7-Austin,2112,19,11393
2019,Borden,9-Midland,111,16,681
2019,Bosque,7-Austin,3717,21,17793
2019,Bowie,4-Tyler,19806,21,92596
2019,Brazoria,6-Houston,93559,25,369156
2019,Brazos,7-Austin,49491,22,225224
2019,Brewster,10-El Paso,2029,22,9157
2019,Briscoe,1-Lubbock,318,20,1572
2019,Brooks,11-Edinburg,1861,26,7178
2019,Brown,2-Abilene,8534,22,38873
2019,Burleson,7-Austin,3955,22,17649
2019,Burnet,7-Austin,10273,22,47634
2019,Caldwell,7-Austin,10861,25,43618
2019,Calhoun,8-San Antonio,5652,25,22707
2019,Callahan,2-Abilene,2643,20,13454
2019,Cameron,11-Edinburg,125889,30,426216
2019,Camp,4-Tyler,3294,25,13231
2019,Carson,1-Lubbock,1317,23,5832
2019,Cass,4-Tyler,6695,22,30365
2019,Castro,1-Lubbock,1956,27,7190
2019,Chambers,6-Houston,10690,26,41451
2019,Cherokee,4-Tyler,13208,25,52090
2019,Childress,1-Lubbock,1431,20,7068
2019,Clay,2-Abilene,1940,20,9885
2019,Cochran,1-Lubbock,968,29,3315
2019,Coke,9-Midland,611,19,3226
2019,Coleman,2-Abilene,1934,23,8527
2019,Collin,3-Arlington,255641,25,1010828
2019,Collingsworth,1-Lubbock,850,27,3188
2019,Colorado,6-Houston,4923,23,21239
2019,Comal,8-San Antonio,31531,22,142701
2019,Comanche,2-Abilene,2978,23,13173
2019,Concho,9-Midland,565,14,4136
2019,Cooke,3-Arlington,8993,23,39595
2019,Coryell,7-Austin,19829,25,77978
2019,Cottle,2-Abilene,312,21,1515
2019,Crane,9-Midland,1693,28,5991
2019,Crockett,9-Midland,999,25,4010
2019,Crosby,1-Lubbock,1669,26,6413
2019,Culberson,10-El Paso,463,20,2261
2019,Dallam,1-Lubbock,2230,31,7173
2019,Dallas,3-Arlington,721254,27,2697424
2019,Dawson,9-Midland,3258,24,13611
2019,DeWitt,8-San Antonio,4634,21,21573
2019,Deaf Smith,1-Lubbock,5553,30,18255
2019,Delta,4-Tyler,1122,21,5366
2019,Denton,3-Arlington,208408,24,870845
2019,Dickens,1-Lubbock,333,15,2188
2019,Dimmit,8-San Antonio,3395,29,11533
2019,Donley,1-Lubbock,675,20,3440
2019,Duval,11-Edinburg,3056,26,11803
2019,Eastland,2-Abilene,4099,22,18261
2019,Ector,9-Midland,53039,30,179208
2019,Edwards,8-San Antonio,414,21,2004
2019,El Paso,10-El Paso,240900,28,869040
2019,Ellis,3-Arlington,44628,26,174749
2019,Erath,3-Arlington,8818,21,41086
2019,Falls,7-Austin,3366,20,16712
2019,Fannin,3-Arlington,6981,20,34524
2019,Fayette,7-Austin,5703,22,25900
2019,Fisher,2-Abilene,833,21,3983
2019,Floyd,1-Lubbock,1471,25,5834
2019,Foard,2-Abilene,244,20,1240
2019,Fort Bend,6-Houston,205943,25,810619
2019,Franklin,4-Tyler,2752,25,10885
2019,Freestone,7-Austin,4430,22,19879
2019,Frio,8-San Antonio,4615,23,19718
2019,Gaines,9-Midland,7182,33,21620
2019,Galveston,6-Houston,84288,24,348442
2019,Garza,1-Lubbock,1378,20,6756
2019,Gillespie,8-San Antonio,4965,19,26019
2019,Glasscock,9-Midland,294,22,1349
2019,Goliad,8-San Antonio,1547,20,7672
2019,Gonzales,8-San Antonio,5582,26,21216
2019,Gray,1-Lubbock,5988,25,24040
2019,Grayson,3-Arlington,30447,23,130657
2019,Gregg,4-Tyler,31888,25,125425
2019,Grimes,7-Austin,6310,22,28710
2019,Guadalupe,8-San Antonio,41291,25,165837
2019,Hale,1-Lubbock,9204,27,33527
2019,Hall,1-Lubbock,775,23,3312
2019,Hamilton,7-Austin,1822,22,8234
2019,Hansford,1-Lubbock,1644,28,5802
2019,Hardeman,2-Abilene,940,24,3888
2019,Hardin,5-Beaumont,12656,22,56350
2019,Harris,6-Houston,1310915,27,4887341
2019,Harrison,4-Tyler,17307,25,68004
2019,Hartley,1-Lubbock,1199,20,6064
