Year,County,Region,Type,Count,CBC
2021,Anderson,4-Tyler,Adoptive,4,DFPS
2021,Anderson,4-Tyler,Foster/Adoptive,8,DFPS
2021,Angelina,5-Beaumont,Adoptive,5,DFPS
2021,Angelina,5-Beaumont,Foster/Adoptive,16,DFPS
2021,Atascosa,8-San Antonio,Foster/Adoptive,4,DFPS
2021,Bandera,8-San Antonio,Foster/Adoptive,1,DFPS
2021,Bastrop,7-Austin,Adoptive,3,DFPS
2021,Bastrop,7-Austin,Foster/Adoptive,1,DFPS
2021,Bee,11-Edinburg,Adoptive,1,DFPS
2021,Bee,11-Edinburg,Foster/Adoptive,1,DFPS
2021,Bell,7-Austin,Adoptive,8,DFPS
2021,Bell,7-Austin,Foster,1,DFPS
2021,Bell,7-Austin,Foster/Adoptive,26,DFPS
2021,Bexar,8-San Antonio,Adoptive,1,CBC
2021,Blanco,7-Austin,Foster/Adoptive,2,DFPS
2021,Bosque,7-Austin,Adoptive,1,DFPS
2021,Bowie,4-Tyler,Adoptive,3,DFPS
2021,Bowie,4-Tyler,Foster/Adoptive,6,DFPS
2021,Brazos,7-Austin,Adoptive,4,DFPS
2021,Brazos,7-Austin,Foster/Adoptive,6,DFPS
2021,Brewster,10-El Paso,Foster/Adoptive,1,DFPS
2021,Burleson,7-Austin,Adoptive,1,DFPS
2021,Burnet,7-Austin,Adoptive,1,DFPS
2021,Calhoun,8-San Antonio,Foster/Adoptive,2,DFPS
2021,Cameron,11-Edinburg,Adoptive,5,DFPS
2021,Cameron,11-Edinburg,Foster/Adoptive,3,DFPS
2021,Camp,4-Tyler,Foster/Adoptive,1,DFPS
2021,Cass,4-Tyler,Adoptive,1,DFPS
2021,Cass,4-Tyler,Foster/Adoptive,4,DFPS
2021,Cherokee,4-Tyler,Foster,1,DFPS
2021,Cherokee,4-Tyler,Foster/Adoptive,4,DFPS
2021,Collin,3-Arlington,Adoptive,5,DFPS
2021,Collin,3-Arlington,Foster/Adoptive,22,DFPS
2021,Comal,8-San Antonio,Adoptive,1,DFPS
2021,Comal,8-San Antonio,Foster/Adoptive,4,DFPS
2021,Coryell,7-Austin,Adoptive,1,DFPS
2021,Coryell,7-Austin,Foster/Adoptive,6,DFPS
2021,Dallas,3-Arlington,Adoptive,13,DFPS
2021,Dallas,3-Arlington,Foster,11,DFPS
2021,Dallas,3-Arlington,Foster/Adoptive,56,DFPS
2021,DeWitt,8-San Antonio,Foster,1,DFPS
2021,DeWitt,8-San Antonio,Foster/Adoptive,1,DFPS
2021,Denton,3-Arlington,Adoptive,1,DFPS
2021,Denton,3-Arlington,Foster,1,DFPS
2021,Denton,3-Arlington,Foster/Adoptive,34,DFPS
2021,Dimmit,8-San Antonio,Adoptive,1,DFPS
2021,Dimmit,8-San Antonio,Foster,1,DFPS
2021,Dimmit,8-San Antonio,Foster/Adoptive,2,DFPS
2021,Ector,9-Midland,Adoptive,2,DFPS
2021,Ector,9-Midland,Foster/Adoptive,2,DFPS
2021,El Paso,10-El Paso,Adoptive,1,DFPS
2021,El Paso,10-El Paso,Foster,2,DFPS
2021,El Paso,10-El Paso,Foster/Adoptive,29,DFPS
2021,Ellis,3-Arlington,Adoptive,3,DFPS
2021,Ellis,3-Arlington,Foster/Adoptive,16,DFPS
2021,Fannin,3-Arlington,Foster/Adoptive,2,DFPS
2021,Fayette,7-Austin,Foster/Adoptive,1,DFPS
2021,Fort Bend,6-Houston,Adoptive,1,DFPS
2021,Franklin,4-Tyler,Foster/Adoptive,6,DFPS
2021,Gonzales,8-San Antonio,Foster/Adoptive,2,DFPS
2021,Grayson,3-Arlington,Adoptive,1,DFPS
2021,Grayson,3-Arlington,Foster/Adoptive,6,DFPS
2021,Gregg,4-Tyler,Adoptive,2,DFPS
2021,Gregg,4-Tyler,Foster/Adoptive,9,DFPS
2021,Grimes,7-Austin,Adoptive,1,DFPS
2021,Grimes,7-Austin,Foster,1,DFPS
2021,Grimes,7-Austin,Foster/Adoptive,1,DFPS
2021,Guadalupe,8-San Antonio,Adoptive,2,DFPS
2021,Guadalupe,8-San Antonio,Foster/Adoptive,5,DFPS
2021,Hardin,5-Beaumont,Adoptive,1,DFPS
2021,Hardin,5-Beaumont,Foster/Adoptive,11,DFPS
2021,Harris,6-Houston,Adoptive,8,DFPS
2021,Harris,6-Houston,Foster/Adoptive,1,DFPS
2021,Harrison,4-Tyler,Adoptive,4,DFPS
2021,Harrison,4-Tyler,Foster,1,DFPS
2021,Harrison,4-Tyler,Foster/Adoptive,7,DFPS
2021,Hays,7-Austin,Adoptive,5,DFPS
2021,Hays,7-Austin,Foster/Adoptive,4,DFPS
2021,Henderson,4-Tyler,Adoptive,1,DFPS
2021,Henderson,4-Tyler,Foster,1,DFPS
2021,Henderson,4-Tyler,Foster/Adoptive,8,DFPS
2021,Hidalgo,11-Edinburg,Adoptive,2,DFPS
2021,Hidalgo,11-Edinburg,Foster/Adoptive,5,DFPS
2021,Hill,7-Austin,Adoptive,4,DFPS
2021,Hill,7-Austin,Foster/Adoptive,2,DFPS
2021,Hopkins,4-Tyler,Adoptive,1,DFPS
2021,Hopkins,4-Tyler,Foster/Adoptive,1,DFPS
