Region,County,Year,fips,lon,lat,Child_Population,Total_Population,Econ_Region,Homes_Total_County,Removals_Total_County,Homes_Total_County_per100K,Removals_Total_County_per1K
1-Lubbock,Armstrong,2011,48011,-101.3572412,34.96522076,411,1906,High Plains,1,2,52.46589716684156,4.866180048661801
1-Lubbock,Armstrong,2012,48011,-101.3572412,34.96522076,396,1913,High Plains,0,3,0,7.575757575757576
1-Lubbock,Armstrong,2013,48011,-101.3572412,34.96522076,376,1919,High Plains,0,2,0,5.319148936170213
1-Lubbock,Armstrong,2014,48011,-101.3572412,34.96522076,373,1928,High Plains,0,0,0,0
1-Lubbock,Armstrong,2015,48011,-101.3572412,34.96522076,375,1942,High Plains,1,1,51.49330587023687,2.6666666666666665
1-Lubbock,Armstrong,2016,48011,-101.3572412,34.96522076,366,1951,High Plains,0,1,0,2.73224043715847
1-Lubbock,Armstrong,2017,48011,-101.3572412,34.96522076,359,1952,High Plains,1,0,51.22950819672131,0
1-Lubbock,Armstrong,2018,48011,-101.3572412,34.96522076,355,1954,High Plains,2,4,102.35414534288638,11.267605633802818
1-Lubbock,Armstrong,2019,48011,-101.3572412,34.96522076,338,1951,High Plains,0,0,0,0
1-Lubbock,Armstrong,2020,48011,-101.3572412,34.96522076,338,1948,High Plains,0,0,0,0
1-Lubbock,Armstrong,2021,48011,-101.3572412,34.96522076,339,1946,High Plains,0,0,0,0
1-Lubbock,Bailey,2011,48017,-102.8299069,34.0684915,2228,7199,High Plains,2,4,27.78163633838033,1.7953321364452424
1-Lubbock,Bailey,2012,48017,-102.8299069,34.0684915,2242,7246,High Plains,0,10,0,4.460303300624442
1-Lubbock,Bailey,2013,48017,-102.8299069,34.0684915,2265,7307,High Plains,1,5,13.685507048036131,2.207505518763797
1-Lubbock,Bailey,2014,48017,-102.8299069,34.0684915,2267,7356,High Plains,1,10,13.594344752582924,4.411116012351125
1-Lubbock,Bailey,2015,48017,-102.8299069,34.0684915,2295,7413,High Plains,0,3,0,1.3071895424836601
1-Lubbock,Bailey,2016,48017,-102.8299069,34.0684915,2311,7464,High Plains,2,5,26.795284030010716,2.163565556036348
1-Lubbock,Bailey,2017,48017,-102.8299069,34.0684915,2326,7525,High Plains,0,4,0,1.7196904557179709
1-Lubbock,Bailey,2018,48017,-102.8299069,34.0684915,2345,7582,High Plains,0,11,0,4.690831556503198
1-Lubbock,Bailey,2019,48017,-102.8299069,34.0684915,2335,7638,High Plains,0,18,0,7.7087794432548185
1-Lubbock,Bailey,2020,48017,-102.8299069,34.0684915,2325,7692,High Plains,0,21,0,9.03225806451613
1-Lubbock,Bailey,2021,48017,-102.8299069,34.0684915,2325,7749,High Plains,0,0,0,0
1-Lubbock,Briscoe,2011,48045,-101.2085769,34.53041048,351,1617,High Plains,0,0,0,0
1-Lubbock,Briscoe,2012,48045,-101.2085769,34.53041048,339,1610,High Plains,1,2,62.11180124223603,5.899705014749262
1-Lubbock,Briscoe,2013,48045,-101.2085769,34.53041048,338,1602,High Plains,1,0,62.421972534332085,0
1-Lubbock,Briscoe,2014,48045,-101.2085769,34.53041048,331,1600,High Plains,1,2,62.5,6.042296072507553
1-Lubbock,Briscoe,2015,48045,-101.2085769,34.53041048,327,1593,High Plains,1,2,62.77463904582549,6.116207951070336
1-Lubbock,Briscoe,2016,48045,-101.2085769,34.53041048,332,1587,High Plains,0,0,0,0
1-Lubbock,Briscoe,2017,48045,-101.2085769,34.53041048,321,1582,High Plains,1,0,63.21112515802782,0
1-Lubbock,Briscoe,2018,48045,-101.2085769,34.53041048,315,1576,High Plains,1,0,63.451776649746186,0
1-Lubbock,Briscoe,2019,48045,-101.2085769,34.53041048,318,1572,High Plains,2,3,127.2264631043257,9.433962264150942
1-Lubbock,Briscoe,2020,48045,-101.2085769,34.53041048,311,1568,High Plains,0,0,0,0
1-Lubbock,Briscoe,2021,48045,-101.2085769,34.53041048,303,1563,High Plains,0,1,0,3.3003300330033003
1-Lubbock,Carson,2011,48065,-101.3542037,35.40346802,1531,6130,High Plains,2,3,32.62642740619902,1.959503592423253
1-Lubbock,Carson,2012,48065,-101.3542037,35.40346802,1491,6081,High Plains,1,5,16.4446637066272,3.35345405767941
1-Lubbock,Carson,2013,48065,-101.3542037,35.40346802,1463,6036,High Plains,1,1,16.56726308813784,0.6835269993164731
1-Lubbock,Carson,2014,48065,-101.3542037,35.40346802,1420,5989,High Plains,2,6,33.39455668725998,4.225352112676056
1-Lubbock,Carson,2015,48065,-101.3542037,35.40346802,1382,5952,High Plains,2,6,33.60215053763441,4.341534008683069
1-Lubbock,Carson,2016,48065,-101.3542037,35.40346802,1361,5906,High Plains,2,3,33.863867253640365,2.204261572373255
1-Lubbock,Carson,2017,48065,-101.3542037,35.40346802,1348,5877,High Plains,2,10,34.03096818104475,7.4183976261127595
1-Lubbock,Carson,2018,48065,-101.3542037,35.40346802,1336,5848,High Plains,2,10,34.19972640218878,7.485029940119761
1-Lubbock,Carson,2019,48065,-101.3542037,35.40346802,1317,5832,High Plains,2,12,34.293552812071326,9.111617312072893
1-Lubbock,Carson,2020,48065,-101.3542037,35.40346802,1317,5799,High Plains,1,1,17.24435247456458,0.7593014426727411
1-Lubbock,Carson,2021,48065,-101.3542037,35.40346802,1308,5787,High Plains,0,5,0,3.8226299694189603
1-Lubbock,Castro,2011,48069,-102.2617608,34.53000304,2429,7932,High Plains,5,0,63.035804336863336,0
1-Lubbock,Castro,2012,48069,-102.2617608,34.53000304,2344,7827,High Plains,5,30,63.8814360546825,12.79863481228669
1-Lubbock,Castro,2013,48069,-102.2617608,34.53000304,2277,7727,High Plains,3,10,38.824899702342435,4.391743522178305
1-Lubbock,Castro,2014,48069,-102.2617608,34.53000304,2220,7637,High Plains,3,7,39.2824407489852,3.153153153153153
1-Lubbock,Castro,2015,48069,-102.2617608,34.53000304,2161,7549,High Plains,3,8,39.74036296198172,3.7019898195279963
1-Lubbock,Castro,2016,48069,-102.2617608,34.53000304,2092,7458,High Plains,3,12,40.22526146419951,5.736137667304016
1-Lubbock,Castro,2017,48069,-102.2617608,34.53000304,2046,7365,High Plains,3,10,40.73319755600815,4.887585532746823
1-Lubbock,Castro,2018,48069,-102.2617608,34.53000304,2007,7275,High Plains,3,1,41.23711340206186,0.4982561036372695
1-Lubbock,Castro,2019,48069,-102.2617608,34.53000304,1956,7190,High Plains,3,13,41.72461752433936,6.6462167689161555
1-Lubbock,Castro,2020,48069,-102.2617608,34.53000304,1932,7103,High Plains,0,0,0,0
