Econ_Region,Year,County,Region,fips,lon,lat,Child_Population,Total_Population,DFPS_children_Total_County,Adopt_Need_Total_County,Homes_Total_County,Total_Families_Served_HOPES,Total_Families_Served_HIP,Total_Families_Served_TNFP,Total_Families_Served_THV_MIECHV,Total_Families_Served_THV_STATE,Total_Families_Served_THV,Physician_Access,Uninsured Rate,Graduation Rate,Personal Income per Capita,Average Wages,Population Density
Alamo,2010,Comal,8-San Antonio,48091,-98.27814516,29.80816362,25697,108472,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4448,19263,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4259,17217,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,2962,14824,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,465286,1714773,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,23177,86793,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,8099,33410,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Gonzales,8-San Antonio,48177,-97.49279927,29.45641495,5368,19807,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,36404,131533,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Wilson,8-San Antonio,48493,-98.08621015,29.17315896,11334,42918,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11865,46006,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3579,14075,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12862,44911,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4493,20097,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,4023,20485,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5671,21381,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Kerr,8-San Antonio,48265,-99.35016969,30.06153035,10014,49625,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Goliad,8-San Antonio,48175,-97.42646082,28.65708563,1648,7210,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2010,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,5041,24837,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,23.3,81.8,35694,40275,141
Alamo,2011,Kerr,8-San Antonio,48265,-99.35016969,30.06153035,9970,49846,247,47,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,471822,1750430,5238,820,144,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Goliad,8-San Antonio,48175,-97.42646082,28.65708563,1610,7253,6,NA,1,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,36751,134889,182,23,11,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Wilson,8-San Antonio,48493,-98.08621015,29.17315896,11317,43752,57,1,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4442,19350,11,3,3,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5610,21527,16,3,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Gonzales,8-San Antonio,48177,-97.49279927,29.45641495,5382,19965,22,3,NA,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,8210,34442,46,5,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,2954,14834,33,15,NA,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11736,46445,201,54,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4249,17466,74,21,1,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4985,24948,61,10,2,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12862,45508,173,24,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,22977,87695,206,37,19,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
