long,lat,group,order,region,subregion,long.1,lat.1
-106.59879302978516,31.82207679748535,50,13026,texas,NA,-626852.6851668466,-1438013.3888887966
-106.63890075683594,31.8679141998291,50,13027,texas,NA,-630310.721055054,-1432664.5282629277
-106.6446304321289,31.90229034423828,50,13028,texas,NA,-630595.9356010061,-1428831.0433406562
-106.63890075683594,31.94812774658203,50,13029,texas,NA,-629710.2784384505,-1423817.3854030191
-106.6503677368164,31.98250389099121,50,13030,texas,NA,-630537.2565810549,-1419941.520671235
-106.62744140625,31.993961334228516,50,13031,texas,NA,-628283.1165355055,-1418845.8222722393
-106.46128845214844,31.993961334228516,50,13032,texas,NA,-612568.656915204,-1420046.6459124107
-106.38680267333984,31.988235473632812,50,13033,texas,NA,-605564.2968658871,-1421206.7354068258
-105.9971923828125,31.993961334228516,50,13034,texas,NA,-568660.593822898,-1423239.3369051134
-104.91429901123047,31.988235473632812,50,13035,texas,NA,-466163.5762131159,-1430396.3116286343
-104.84555053710938,31.993961334228516,50,13036,texas,NA,-459619.3935428017,-1430134.8092860626
-104.01475524902344,31.993961334228516,50,13037,texas,NA,-380892.7619207357,-1434199.9509507506
-103.96318817138672,31.993961334228516,50,13038,texas,NA,-376004.7052057233,-1434427.149947253
-103.7168197631836,31.993961334228516,50,13039,texas,NA,-352649.1270171303,-1435472.0929008091
-103.36158752441406,31.993961334228516,50,13040,texas,NA,-318967.1306451822,-1436860.7642502694
-103.07511138916016,31.993961334228516,50,13041,texas,NA,-291799.4725898676,-1437879.141747125
-103.07511138916016,32.074180603027344,50,13042,texas,NA,-291520.7017328992,-1429019.2369744466
-103.07511138916016,32.50962448120117,50,13043,texas,NA,-290000.78669842903,-1380914.2024069217
-103.06938171386719,32.945072174072266,50,13044,texas,NA,-287932.36127064074,-1332808.3610394886
-103.06364440917969,33.386253356933594,50,13045,texas,NA,-285837.40082905616,-1284049.3496112486
-103.06364440917969,33.55241012573242,50,13046,texas,NA,-285248.01338625443,-1265673.6540765509
-103.05791473388672,33.82170104980469,50,13047,texas,NA,-283757.93406005175,-1235905.6396408884
